resample_index,matched_early_ap50,reliability_p015_ap50,diff_reliability_minus_early_ap50,matched_early_ap75,reliability_p015_ap75,diff_reliability_minus_early_ap75,matched_early_f1,reliability_p015_f1,diff_reliability_minus_early_f1
348,0.9393817558232278,0.9561023771313393,0.016720621308111472,0.8092300147700215,0.8675071769046108,0.05827716213458922,0.8932851338443564,0.9128574745124667,0.01957234066811031
349,0.9453881717397947,0.9612116241572713,0.015823452417476624,0.8353490003959031,0.8798378405641781,0.044488840168275035,0.9006513770645634,0.9179913311905792,0.017339954126015744
350,0.9432294019972285,0.9619426030999686,0.018713201102740107,0.8228281344818531,0.8809727770902676,0.058144642608414454,0.8946388602754076,0.9140439991580489,0.019405138882641282
351,0.9438427719181217,0.9620320100735498,0.018189238155428056,0.8291938499536531,0.8809349057484498,0.05174105579479671,0.8974140150265366,0.9160792177889008,0.018665202762364164
352,0.9409533440401544,0.957816344180055,0.016863000139900608,0.8164379993577753,0.8747901708153589,0.058352171457583646,0.8952485299870742,0.9126484069753795,0.017399876988305363
353,0.9408751095362,0.9570597914550707,0.01618468191887068,0.8167006695567516,0.86824949842027,0.051548828863518414,0.892394705772561,0.9132157376162646,0.020821031843703652
354,0.9430340491915357,0.9595959030638954,0.016561853872359755,0.8185861057209582,0.8740558678976649,0.05546976217670663,0.89556616699507,0.9161828239282227,0.020616656933152733
355,0.9382709882774938,0.9544120338603734,0.016141045582879654,0.8160351422023508,0.8708243181316393,0.05478917592928845,0.8924147018927946,0.9097035138840686,0.017288811991273967
356,0.9369403196333247,0.9547586764074063,0.017818356774081612,0.8215449767352841,0.8742344836589451,0.05268950692366092,0.8900675883883133,0.911269149304641,0.021201560916327633
357,0.9439242774395019,0.9595454592234575,0.015621181783955551,0.833114160600904,0.8823283197372798,0.049214159136375724,0.9006427192769199,0.9157671720653591,0.015124452788439213
358,0.9424416374682725,0.9598808873897069,0.01743924992143442,0.8316977512080285,0.8885611680230541,0.0568634168150256,0.8940290757066163,0.9163517625386475,0.022322686832031202
359,0.9389170267685789,0.9580552060789589,0.019138179310379977,0.8092010358738138,0.8641250111095806,0.054923975235766864,0.8910727467308555,0.9091194927096791,0.01804674597882361
360,0.9431327026153293,0.9581967175408943,0.015064014925564972,0.8227713826363037,0.8777044273352135,0.054933044698909805,0.8979276070717808,0.9126866352456622,0.014759028173881417
361,0.9426073028112671,0.9593828338499614,0.016775531038694225,0.8138765131700586,0.8759916287082689,0.06211511553821025,0.8941333225005872,0.9158902193997542,0.021756896899167044
362,0.9408582403021271,0.9615100812846546,0.02065184098252759,0.8247464128889496,0.8819456349766279,0.05719922208767836,0.8934540103575153,0.914421593114363,0.020967582756847736
363,0.9433370996984243,0.9575289281403814,0.0141918284419571,0.8227584894061943,0.8756498292817898,0.05289133987559547,0.8954731820647746,0.9111464366658273,0.015673254601052733
364,0.9373254964517108,0.9550939330288089,0.017768436577098035,0.8094777065802674,0.8650235579024327,0.055545851322165274,0.8892682620758103,0.9085117692587319,0.01924350718292156
365,0.9393638272064198,0.9560074135998202,0.016643586393400467,0.821026473890732,0.8734391816509571,0.05241270776022511,0.8946906378006767,0.9101370740983541,0.01544643629767739
366,0.9396227786927933,0.9585187154191294,0.01889593672633605,0.8166198853827522,0.8817614112102886,0.0651415258275364,0.8940660746973019,0.9137986917166275,0.019732617019325605
367,0.9418933472376972,0.9587666060295785,0.016873258791881285,0.8177645191335894,0.8702077711907873,0.05244325205719791,0.8934107785182773,0.9121399187762886,0.018729140258011312
368,0.9362672368898576,0.9547035572294916,0.01843632033963405,0.8097489061736032,0.8668352620262203,0.05708635585261712,0.8877399898134504,0.9069320936100513,0.019192103796600968
369,0.942111318353773,0.9606571915322362,0.018545873178463124,0.8238317583636386,0.8807343276585358,0.05690256929489712,0.8944212392020134,0.9134053827602215,0.0189841435582081
370,0.9456206169411518,0.9619724915014877,0.016351874560335822,0.8221073975475673,0.8810177350612078,0.0589103375136405,0.8987306047283234,0.9155064479604353,0.016775843232111898
371,0.9447591448014183,0.9611856912165913,0.016426546415172938,0.8309974616738649,0.883392978813055,0.052395517139190106,0.8985801012514973,0.9150546615824079,0.016474560330910548
372,0.9419549189965005,0.9595971655443885,0.01764224654788793,0.8251929766720086,0.8799468925576206,0.05475391588561196,0.8967849780311831,0.9155151305821102,0.018730152550927137
373,0.940882543601847,0.9576996998896263,0.016817156287779356,0.8170553469054798,0.871315336929374,0.054259990023894256,0.8947417310266406,0.9093411505748376,0.01459941954819699
374,0.9415891952023367,0.9597793154904225,0.018190120288085754,0.8192603640604169,0.8745967702969349,0.05533640623651803,0.8951339700258789,0.9117403444820873,0.016606374456208384
375,0.9388280133008041,0.9571848666013628,0.018356853300558695,0.819359497566114,0.8767616692931856,0.057402171727071516,0.8936773399329011,0.9115237828769641,0.017846442944063012
376,0.9422403757888133,0.9594563412600395,0.01721596547122628,0.8222224577615505,0.8751442431245194,0.05292178536296899,0.8966692258837433,0.9147880304877986,0.01811880460405524
377,0.9423378503728372,0.9602045966407529,0.017866746267915623,0.8166908094075036,0.8708773002602856,0.05418649085278204,0.8936801941358974,0.9142503869479783,0.020570192812080945
378,0.9393169275580211,0.9565064845689586,0.017189557010937495,0.8153417074042815,0.873239726395947,0.05789801899166558,0.8929628583688695,0.9116414502309593,0.018678591862089866
379,0.9403213749292084,0.9613505196097193,0.02102914468051087,0.8190245169420797,0.8810128920271225,0.061988375085042846,0.8925894380790651,0.9170395237735455,0.024450085694480372
380,0.9430161347086897,0.9610784611846421,0.018062326475952406,0.8164119444921123,0.879435174842305,0.06302323035019275,0.896718474301669,0.9142226390106294,0.017504164708960435
381,0.9438286639918984,0.9598133550690046,0.015984691077106206,0.8181459337885463,0.8703552654522299,0.05220933166368358,0.8999091086111366,0.9157096524920102,0.015800543880873597
382,0.9414997770921152,0.9590969153288705,0.01759713823675535,0.8174955794351921,0.8729622809478051,0.055466701512613015,0.8954374233738073,0.9114363817318244,0.015998958358017124
383,0.9443103978070138,0.9599834789396158,0.015673081132602018,0.8315807461434834,0.8809691235877639,0.049388377444280485,0.8994263753288172,0.915779243482589,0.016352868153771793
384,0.9358622725471508,0.9569180252488942,0.021055752701743424,0.8100301769882526,0.8691945198770094,0.059164342888756716,0.8883510302193753,0.9092516084991925,0.020900578279817172
385,0.9409685078092467,0.9577693033738542,0.016800795564607562,0.8174284934991176,0.8739327467849863,0.05650425328586872,0.8946495780520479,0.9125481564639024,0.017898578411854493
386,0.9443028188484412,0.9601179915697845,0.01581517272134325,0.8212666855817423,0.8732024989428495,0.0519358133611072,0.898880314332159,0.9138266618163253,0.014946347484166345
387,0.9374446354696533,0.9554069554110644,0.017962319941411065,0.8205601835034192,0.8765706534764738,0.05601046997305459,0.8935941677902964,0.9113108740916295,0.01771670630133304
388,0.9424461168245566,0.9600763716043204,0.017630254779763765,0.8154198112642029,0.8692051610419955,0.05378534977779259,0.8945060947327265,0.9152373697811721,0.02073127504844563
389,0.9435017846021752,0.9596983982685112,0.016196613666336068,0.8255793696514582,0.8769052273839422,0.05132585773248399,0.8965492954984109,0.9139087670873899,0.017359471588978992
390,0.9410056904201209,0.9575946002709401,0.016588909850819178,0.8153165232181361,0.8707348665492406,0.055418343331104514,0.8962488100788147,0.9131688867157322,0.016920076636917414
391,0.9385778977181802,0.9555808282151323,0.017002930496952118,0.8144082484699307,0.8717188084625872,0.05731055999265655,0.8901698521964598,0.9094321484902896,0.019262296293829806
392,0.9406066887910634,0.9580901474842904,0.017483458693227094,0.8251116607161519,0.8786763211287212,0.05356466041256924,0.8942713061879404,0.9155855403709549,0.02131423418301448
393,0.9431735116115854,0.9597715258558905,0.01659801424430518,0.826446278133351,0.8776245139452621,0.051178235811911055,0.898615866136538,0.9148363855384027,0.016220519401864752
394,0.9414318106466887,0.9599217426027704,0.01848993195608173,0.8214998561163346,0.8773998747855294,0.055900018669194806,0.8981675564576636,0.9146290848600693,0.01646152840240578
395,0.9410175597500616,0.9586269006232528,0.017609340873191215,0.8101506859390359,0.875076778976415,0.06492609303737906,0.8935702094859692,0.9118997802221093,0.018329570736140055
396,0.9395809929007712,0.9593229845371379,0.019741991636366696,0.8095623215143753,0.8737063226711477,0.06414400115677232,0.8927319328069425,0.9127646173464854,0.020032684539542878
397,0.9413618306696941,0.9567159097031372,0.015354079033443102,0.8246729661591726,0.8750968021637305,0.05042383600455791,0.8954495765204231,0.911476370359775,0.016026793839351905
398,0.936472092817751,0.9555281275830453,0.019056034765294272,0.8069366608152393,0.8691502975248457,0.062213636709606446,0.8876623911757584,0.9120126625869258,0.024350271411167412
399,0.9363235830316892,0.9553495670968819,0.019025984065192736,0.8132346116570095,0.8697315836022249,0.05649697194521541,0.8915122305163512,0.9113950417788598,0.01988281126250857
400,0.9425326738910862,0.9618186805535913,0.01928600666250513,0.8280601152557906,0.8820416569094849,0.05398154165369429,0.8961775866476908,0.9176771312960585,0.021499544648367785
401,0.9411430199145743,0.958990855263688,0.017847835349113716,0.8139491385149754,0.8750180264762262,0.06106888796125076,0.8967360464039317,0.9146866067114456,0.017950560307513963
402,0.9381627056818889,0.9556747250163427,0.017512019334453788,0.8162433545798085,0.8752726985883379,0.05902934400852944,0.8914219365015414,0.9136123115839541,0.022190375082412617
403,0.9426095798657717,0.9590522304617214,0.016442650595949737,0.8230981395807329,0.8769697423985825,0.05387160281784964,0.8974578862088372,0.9171879111029293,0.019730024894092146
404,0.9423740454279812,0.9605386746225261,0.018164629194544868,0.8275711276803681,0.8817470555477906,0.054175927867422535,0.8982884451303672,0.9135180285163396,0.015229583385972356
405,0.9414272078578549,0.9594036287659675,0.017976420908112578,0.8212030124920512,0.8792280897871292,0.058025077295078,0.8932905754456875,0.9125788128015933,0.01928823735590579
406,0.9427646480437277,0.9599271504021089,0.017162502358381126,0.8285466934072218,0.8821805085256886,0.05363381511846688,0.8964929110428901,0.9151538427039386,0.01866093166104854
407,0.9399899145023334,0.9590108201306407,0.019020905628307272,0.8174168400212394,0.8737165580802988,0.05629971805905942,0.891640519621162,0.9123147933489828,0.020674273727820824
408,0.947938457232679,0.9629594399478296,0.015020982715150621,0.8308651760594856,0.8829297286103455,0.052064552550859844,0.9009280679373651,0.9157723625138304,0.0148442945764653
409,0.9405169786269771,0.9582322862696873,0.01771530764271012,0.8183773963513203,0.87823383056174,0.05985643421041964,0.8948524202454626,0.9141054900828146,0.019253069837351977
410,0.9416048029035224,0.9592889374135704,0.01768413451004791,0.820745154359164,0.8765627144513886,0.055817560092224605,0.8954586744980405,0.9112742675768355,0.015815593078794987
411,0.9470531372685274,0.9637994525940534,0.016746315325526062,0.8295476148993222,0.8860266710644085,0.056479056165086305,0.9006350994290987,0.9192968773933747,0.01866177796427604
412,0.942580077595368,0.9600189401401045,0.017438862544736478,0.8237936461100689,0.8813566892149799,0.057563043104911005,0.8975839557208992,0.9137140123596108,0.016130056638711587
413,0.944769870356846,0.9623326073370757,0.0175627369802297,0.8281839004540055,0.881741818395571,0.0535579179415655,0.8981740822350333,0.918498585818109,0.020324503583075693
414,0.9443716305763136,0.9606194526982755,0.016247822121961963,0.8309598281380456,0.8831174757009491,0.05215764756290353,0.89842000933209,0.9154252893210094,0.01700527998891943
415,0.942071856814211,0.9598564575727342,0.017784600758523172,0.8227859811947107,0.8779656442004924,0.0551796630057817,0.8983247507388945,0.9131559864834073,0.014831235744512838
416,0.9342591885517958,0.9531355157184479,0.018876327166652107,0.8102320849177443,0.868675366801416,0.05844328188367165,0.8890069400426865,0.9074379500980718,0.018431010055385277
417,0.9394388930093152,0.9564838010405178,0.01704490803120262,0.8099475727394739,0.8755695080448136,0.06562193530533966,0.8924565249177044,0.9120516358598456,0.01959511094214117
418,0.9409462727150464,0.9583918423074032,0.01744556959235677,0.8204169516193851,0.8747584885150901,0.05434153689570498,0.8942106876179798,0.9138195563694356,0.019608868751455732
419,0.9412356900744207,0.958879700469986,0.0176440103955654,0.8155652127519741,0.8688473600541093,0.05328214730213521,0.8956780767487703,0.9122697353866467,0.016591658637876372
420,0.9426268884995117,0.9603312774607737,0.01770438896126203,0.8246380423110333,0.8805827119617766,0.055944669650743295,0.8976297643885218,0.9157778274760667,0.018148063087544908
421,0.9402094645262329,0.9581411397375611,0.017931675211328213,0.8261666530935429,0.8809929813650977,0.05482632827155487,0.8930401648356823,0.9135532802566767,0.020513115420994432
422,0.943759995974113,0.9622102770217884,0.018450281047675432,0.8318914858008808,0.8856981705386525,0.053806684737771726,0.8976375757867108,0.9183904555772111,0.020752879790500334
423,0.9427145091658451,0.9613289676914241,0.01861445852557897,0.823697672859875,0.8796815055147593,0.05598383265488427,0.8971681183600788,0.9148074876175464,0.017639369257467563
424,0.9397599471528286,0.9575406702332685,0.017780723080439875,0.8221609194405879,0.8755283474435709,0.053367428002983,0.8919215288777119,0.9094303533037588,0.017508824426046843
425,0.9411280640855015,0.9588475873057963,0.017719523220294797,0.8254478861576826,0.8776473758722694,0.052199489714586766,0.8919487098597694,0.9136341645283934,0.021685454668624038
426,0.9371888929865954,0.9543534590777175,0.017164566091122158,0.8140403340793027,0.8687911492383568,0.05475081515905411,0.8923815204022572,0.9096152496550681,0.01723372925281097
427,0.9410011362666317,0.9591412200383753,0.018140083771743587,0.8191413829483511,0.8766031777019612,0.05746179475361002,0.8931756771465114,0.9139889096396261,0.02081323249311473
428,0.94469020296213,0.9603334369776623,0.015643234015532248,0.8248426298119274,0.883068787953157,0.05822615814122967,0.8992373616099067,0.9195615733192907,0.02032421170938392
429,0.9430923039234469,0.9592395681004521,0.016147264177005183,0.8194067685766888,0.8750663986243672,0.05565963004767838,0.8960998970359173,0.9138464410403566,0.017746544004439313
430,0.9456217709316744,0.9621746881502657,0.016552917218591312,0.831763480064702,0.8852757647318644,0.0535122846671624,0.8977246453628485,0.9162511287408249,0.018526483377976466
431,0.9421629074097275,0.9615988248120091,0.019435917402281566,0.8210429357058854,0.8813007196976876,0.06025778399180226,0.897317588727317,0.9155853268894137,0.018267738162096703
432,0.943506483227561,0.9612603493480059,0.017753866120444828,0.8311333418949504,0.888695124953061,0.05756178305811066,0.89662328750337,0.9156146017807854,0.018991314277415405
433,0.9409094230601545,0.9584806962843313,0.017571273224176842,0.8156170243738136,0.8726864979439009,0.05706947357008729,0.8945594473448167,0.9144468578666303,0.01988741052181353
434,0.9432797374216968,0.9613259394391647,0.01804620201746787,0.8309267163529284,0.884509268526872,0.05358255217394359,0.8997092576589448,0.9160451403914989,0.01633588273255404
435,0.9429651760358282,0.9588245572174775,0.015859381181649312,0.8196579713252519,0.8767108190285207,0.057052847703268794,0.897663382190406,0.9163374257530668,0.01867404356266078
436,0.9391584988864548,0.9562776259909826,0.017119127104527898,0.8046155688553931,0.866837412694163,0.06222184383876994,0.8946848091953192,0.9131527128664501,0.018467903671130825
437,0.940790626116534,0.9589396413554447,0.01814901523891077,0.8182239038273447,0.8729197312043921,0.05469582737704748,0.8945700607982348,0.9115739318373501,0.01700387103911538
438,0.9365250554259464,0.954139748863052,0.017614693437105533,0.8118330265470453,0.8672760197795377,0.055442993232492466,0.8928763468927498,0.9085068341271435,0.015630487234393753
