run_id,variant,model,seed,training_modality_dropout,condition,ap50_95,ap50,ap75,ar100,images,gt_boxes,detections,runtime_seconds,checkpoint_sha256,weights,split_sha256,removal_operator
early_moddrop_seed2,early_moddrop,early,2,0.15,no_rgb,0.59373741738704,0.8878520987669422,0.6728352917014567,0.7050451678881882,2213,5867,221300,67.09606838226318,c204220f66851e96433c5bfd2d08a85bb8f7d56ec41cff351e748faca8345a60,E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed2,early_moddrop,early,2,0.15,no_thermal,0.38026158759747447,0.6695376018723642,0.3740966301413875,0.5471961820351117,2213,5867,221300,67.69669270515442,c204220f66851e96433c5bfd2d08a85bb8f7d56ec41cff351e748faca8345a60,E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed2,early_moddrop,early,2,0.15,no_event,0.6778474121031997,0.9397369665325015,0.810526072761958,0.7570990284642919,2213,5867,221300,66.67251563072205,c204220f66851e96433c5bfd2d08a85bb8f7d56ec41cff351e748faca8345a60,E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed0,ra_no_moddrop,reliability,0,0.0,full,0.7112447552783334,0.947746927354984,0.8661636017503372,0.7803647520027271,2213,5867,221300,66.37981295585632,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,E:\RepViT-main\runs\v46_coco_ablation\local_training\ra_no_moddrop_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed0,ra_no_moddrop,reliability,0,0.0,no_rgb,0.4846339493919479,0.7038716441348674,0.5521737124608322,0.5881199931822054,2213,5867,221300,68.03848814964294,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,E:\RepViT-main\runs\v46_coco_ablation\local_training\ra_no_moddrop_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed0,ra_no_moddrop,reliability,0,0.0,no_thermal,0.2560358145413574,0.3492261991991725,0.30869361691372216,0.31252769728992674,2213,5867,221300,68.30673050880432,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,E:\RepViT-main\runs\v46_coco_ablation\local_training\ra_no_moddrop_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed0,ra_no_moddrop,reliability,0,0.0,no_event,0.30887783177113215,0.5394504385623394,0.3133380625719488,0.47484233850349417,2213,5867,221300,68.20672702789307,7c2817ff29414fcd91a9330c3f34b60dddfb505100f67810291f2e7ab09a1e5c,E:\RepViT-main\runs\v46_coco_ablation\local_training\ra_no_moddrop_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed1,ra_no_moddrop,reliability,1,0.0,full,0.7334131348365756,0.9476703324690302,0.8823994402169391,0.7975285495142321,2213,5867,221300,67.6007444858551,0f936e657b9a4cc83da6fc3f543d7f28ba72e8b61fc5a0bd60f9bff1159845ec,E:\RepViT-main\runs\v48_complete_ablation\training\ra_no_moddrop_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed1,ra_no_moddrop,reliability,1,0.0,no_rgb,0.4795007772120773,0.6467148873036871,0.5649477144228248,0.5582239645474688,2213,5867,221300,67.96786427497864,0f936e657b9a4cc83da6fc3f543d7f28ba72e8b61fc5a0bd60f9bff1159845ec,E:\RepViT-main\runs\v48_complete_ablation\training\ra_no_moddrop_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
ra_no_moddrop_seed1,ra_no_moddrop,reliability,1,0.0,no_thermal,0.29291575112580087,0.4470749149282385,0.3122412145567138,0.397204704278166,2213,5867,221300,68.25372838973999,0f936e657b9a4cc83da6fc3f543d7f28ba72e8b61fc5a0bd60f9bff1159845ec,E:\RepViT-main\runs\v48_complete_ablation\training\ra_no_moddrop_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
