sample_index,sample_id,component_id,rgb_weight,thermal_weight,event_weight,seed
30,frame_00222,v40c_00151,0.6339989304542542,0.15196330845355988,0.2140377163887024,0
31,frame_00223,v40c_00152,0.7807726263999939,0.05183987691998482,0.1673874855041504,0
32,frame_00224,v40c_00153,0.7953826189041138,0.04375111311674118,0.16086620092391968,0
33,frame_00225,v40c_00154,0.7923360466957092,0.04538215324282646,0.1622818559408188,0
34,frame_00226,v40c_00155,0.7590274810791016,0.06438395380973816,0.1765885204076767,0
35,frame_00227,v40c_00156,0.698354959487915,0.1042226180434227,0.19742251932621002,0
36,frame_00228,v40c_00157,0.7757916450500488,0.05406763032078743,0.17014078795909882,0
37,frame_00229,v40c_00157,0.6984040141105652,0.10330329090356827,0.19829268753528595,0
38,frame_00230,v40c_00157,0.7125712633132935,0.09376046806573868,0.19366824626922607,0
39,frame_00231,v40c_00157,0.8042847514152527,0.037997085601091385,0.15771809220314026,0
40,frame_00232,v40c_00157,0.746756374835968,0.07156708836555481,0.1816764920949936,0
41,frame_00233,v40c_00158,0.7846881747245789,0.04917243868112564,0.16613931953907013,0
42,frame_00234,v40c_00159,0.7956064343452454,0.04288769140839577,0.16150589287281036,0
43,frame_00235,v40c_00160,0.7712753415107727,0.05689239501953125,0.17183223366737366,0
44,frame_00236,v40c_00161,0.7832453846931458,0.04983764514327049,0.16691698133945465,0
45,frame_00237,v40c_00162,0.7299818992614746,0.08282438665628433,0.18719373643398285,0
46,frame_00238,v40c_00163,0.7642417550086975,0.0606895387172699,0.17506876587867737,0
47,frame_00239,v40c_00164,0.7304075956344604,0.08190352469682693,0.18768887221813202,0
48,frame_00240,v40c_00164,0.7916668653488159,0.044447146356105804,0.16388604044914246,0
49,frame_00241,v40c_00164,0.6540445685386658,0.13589738309383392,0.2100580632686615,0
50,frame_00242,v40c_00164,0.7010324597358704,0.10200901329517365,0.19695845246315002,0
51,frame_00243,v40c_00165,0.6547212600708008,0.13575494289398193,0.20952384173870087,0
52,frame_00244,v40c_00164,0.7141057252883911,0.0932941660284996,0.1926000416278839,0
53,frame_00245,v40c_00166,0.6840001940727234,0.11436533182859421,0.2016344517469406,0
54,frame_00246,v40c_00167,0.7243873476982117,0.08634987473487854,0.1892627775669098,0
55,frame_00247,v40c_00168,0.7354357838630676,0.07913874089717865,0.18542549014091492,0
56,frame_00248,v40c_00169,0.7111122012138367,0.09529069811105728,0.19359710812568665,0
57,frame_00249,v40c_00170,0.805712103843689,0.037184253334999084,0.15710367262363434,0
58,frame_00250,v40c_00171,0.6668510437011719,0.1274317353963852,0.20571720600128174,0
59,frame_00251,v40c_00172,0.7830272912979126,0.050027504563331604,0.16694523394107819,0
60,frame_00252,v40c_00173,0.7731185555458069,0.05587129294872284,0.17101016640663147,0
61,frame_00253,v40c_00174,0.7605786323547363,0.06337039917707443,0.17605093121528625,0
62,frame_00254,v40c_00174,0.7214121222496033,0.08884875476360321,0.18973909318447113,0
63,frame_00255,v40c_00175,0.7153791189193726,0.09301138669252396,0.19160951673984528,0
64,frame_00417,v40c_00263,0.6632605791091919,0.13037031888961792,0.206369087100029,0
65,frame_00418,v40c_00263,0.7353718876838684,0.07918646186590195,0.18544162809848785,0
66,frame_00419,v40c_00263,0.7870961427688599,0.046821240335702896,0.16608265042304993,0
67,frame_00420,v40c_00263,0.7572435736656189,0.06489700824022293,0.17785942554473877,0
68,frame_00421,v40c_00263,0.7670646905899048,0.058797720819711685,0.17413756251335144,0
69,frame_00422,v40c_00263,0.7120785117149353,0.09458278119564056,0.19333870708942413,0
70,frame_00423,v40c_00263,0.7977168560028076,0.04098110273480415,0.16130200028419495,0
71,frame_00424,v40c_00263,0.7674909234046936,0.05864119902253151,0.17386789619922638,0
