sample_index,sample_id,component_id,rgb_mean_luminance,rgb_std_luminance,rgb_entropy32_normalized,thermal_mean,thermal_std,thermal_entropy32_normalized,event_nonzero_fraction,event_mean_magnitude,event_entropy32_normalized
1003,nframe_01432,v40c_02572,0.050726957619190216,0.0713689774274826,0.39650648832321167,0.45987364649772644,0.18203935027122498,0.870661735534668,1.0,0.14517277479171753,0.002109382301568985
1004,nframe_01433,v40c_02572,0.050726957619190216,0.0713689774274826,0.39650648832321167,0.45853105187416077,0.18193794786930084,0.869647204875946,1.0,0.1452103704214096,0.003496262477710843
1005,nframe_01434,v40c_02573,0.050629377365112305,0.07172401994466782,0.39705580472946167,0.4589988589286804,0.18226611614227295,0.8699358701705933,1.0,0.1451793760061264,0.002472666557878256
1006,nframe_01435,v40c_02573,0.05053546279668808,0.07182575762271881,0.3957553803920746,0.45650866627693176,0.18134140968322754,0.8676466941833496,1.0,0.1451854109764099,0.0025313307996839285
1007,nframe_01436,v40c_02573,0.05053546279668808,0.07182575762271881,0.3957553803920746,0.45289167761802673,0.1816793829202652,0.8683547973632812,1.0,0.1451614797115326,0.002042367123067379
1008,nframe_01437,v40c_02574,0.050556592643260956,0.0722561925649643,0.3955147862434387,0.4468536972999573,0.18124748766422272,0.8679455518722534,1.0,0.14519090950489044,0.002193369437009096
1009,nframe_01438,v40c_02574,0.050537191331386566,0.07231401652097702,0.39469602704048157,0.447340726852417,0.18136224150657654,0.868533730506897,1.0,0.14523029327392578,0.0028314036317169666
1010,nframe_01439,v40c_02574,0.050537191331386566,0.07231401652097702,0.39469602704048157,0.4492585361003876,0.18185299634933472,0.8687072992324829,1.0,0.1452692449092865,0.003362287301570177
1011,nframe_01440,v40c_02574,0.050581708550453186,0.07239972054958344,0.39513683319091797,0.44748443365097046,0.18182234466075897,0.8685102462768555,1.0,0.14525902271270752,0.0030262633226811886
1012,nframe_01441,v40c_02575,0.050469111651182175,0.07240492105484009,0.3947620391845703,0.4479885399341583,0.18255923688411713,0.8692346811294556,1.0,0.14518645405769348,0.002272971672937274
