sample_index,sample_id,component_id,rgb_weight,thermal_weight,event_weight,seed
820,frame_02892,v40c_01616,0.6757161617279053,0.1238974928855896,0.2003863900899887,0
821,frame_02893,v40c_01616,0.7684723734855652,0.060781076550483704,0.1707466095685959,0
822,frame_02894,v40c_01616,0.7557026147842407,0.06869646161794662,0.17560091614723206,0
823,frame_02895,v40c_01616,0.7839866280555725,0.05172520503401756,0.16428817808628082,0
824,frame_02896,v40c_01616,0.6191613674163818,0.1674785166978836,0.21336011588573456,0
825,frame_02897,v40c_01617,0.7699361443519592,0.05958310887217522,0.17048077285289764,0
826,frame_02898,v40c_01618,0.8032636046409607,0.04031487554311752,0.1564214527606964,0
827,frame_02899,v40c_01618,0.8114132285118103,0.03565394878387451,0.15293286740779877,0
828,frame_02900,v40c_01618,0.6385250091552734,0.15144029259681702,0.21003477275371552,0
829,frame_02901,v40c_01618,0.7680459022521973,0.060353584587574005,0.17160047590732574,0
830,frame_02902,v40c_01618,0.7699795365333557,0.05907154828310013,0.17094898223876953,0
831,frame_02903,v40c_01618,0.7708466649055481,0.05866135284304619,0.17049196362495422,0
832,frame_02904,v40c_01618,0.7915440201759338,0.046596966683864594,0.16185902059078217,0
833,frame_02905,v40c_01619,0.7561293840408325,0.06778264790773392,0.17608800530433655,0
834,frame_02906,v40c_01620,0.7367034554481506,0.08015625178813934,0.18314026296138763,0
835,frame_02907,v40c_01620,0.7573975920677185,0.06701041758060455,0.17559200525283813,0
836,frame_02908,v40c_01620,0.6803270578384399,0.119416244328022,0.20025672018527985,0
837,frame_02909,v40c_01620,0.7188034653663635,0.09222561866044998,0.1889708936214447,0
838,frame_02910,v40c_01620,0.8129001259803772,0.03489844501018524,0.15220141410827637,0
839,frame_02911,v40c_01620,0.8174026012420654,0.03239135444164276,0.1502060890197754,0
840,frame_02912,v40c_01621,0.8125430941581726,0.0350680835545063,0.152388796210289,0
841,frame_02913,v40c_01622,0.775456964969635,0.05608431249856949,0.1684587299823761,0
842,frame_02914,v40c_01622,0.6925467252731323,0.11021649092435837,0.1972367912530899,0
843,frame_02915,v40c_01623,0.7052032947540283,0.10130274295806885,0.19349394738674164,0
844,frame_02916,v40c_01624,0.7595714330673218,0.06548641622066498,0.17494219541549683,0
845,frame_02917,v40c_01625,0.801655113697052,0.04077987000346184,0.15756499767303467,0
846,frame_02918,v40c_01626,0.7490524053573608,0.07218282669782639,0.1787647306919098,0
847,frame_02919,v40c_01627,0.7839897274971008,0.05097248777747154,0.16503776609897614,0
848,frame_02920,v40c_01628,0.7936511039733887,0.04538093879818916,0.16096802055835724,0
849,frame_02921,v40c_01629,0.7428010702133179,0.07639262825250626,0.1808062642812729,0
850,frame_02922,v40c_01630,0.769267201423645,0.06019839644432068,0.17053435742855072,0
851,frame_02923,v40c_01631,0.7850319743156433,0.05012059211730957,0.1648474782705307,0
852,frame_02924,v40c_01632,0.7271201610565186,0.08643289655447006,0.18644697964191437,0
853,frame_02925,v40c_01633,0.6886808276176453,0.1124383732676506,0.19888077676296234,0
854,frame_02926,v40c_01633,0.777308464050293,0.054226845502853394,0.16846472024917603,0
855,frame_02927,v40c_01633,0.7028447985649109,0.10217823833227158,0.19497692584991455,0
856,frame_02928,v40c_01634,0.7812321782112122,0.05204938352108002,0.16671842336654663,0
857,frame_02929,v40c_01634,0.7575767636299133,0.06627616286277771,0.17614704370498657,0
858,frame_02930,v40c_01635,0.774770975112915,0.05620430037379265,0.16902469098567963,0
859,frame_02931,v40c_01635,0.7615880370140076,0.06410302221775055,0.17430895566940308,0
860,frame_02932,v40c_01636,0.6979989409446716,0.10583176463842392,0.19616925716400146,0
861,frame_02933,v40c_01636,0.7278594374656677,0.08530774712562561,0.18683278560638428,0
