variant,run_id,seed,condition,manuscript_condition,precision,recall,f1,ap50,ap75,gt_boxes,predictions,mean_confidence,detector_score_thr,metric_score_thr,nms_thresh,detections_per_img,checkpoint_path,checkpoint_sha256,split_path,split_sha256,runtime_seconds,fps,gpu,cuda,pytorch,git_commit
R2 Reliability p=0.15,R2_seed0,0,event_only,false,0.7053521126760564,0.21205962059620595,0.3260841255371793,0.2536754906177521,0.12247610837221146,5904,1775,0.6070685921588415,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed0_block64g16_e50\weights\best.pt,af7cf07f309bdce1da370f48fae55039afefbe0bb50d90738d9150c74ae3872e,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.53202271461487,28.543044828660804,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed2,2,full,true,0.9163679808841099,0.9093834688346883,0.9128623650429312,0.9588375091552734,0.8715863823890686,5904,5859,0.755435311666099,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed2_block64g16_e50\weights\best.pt,038b0dc1826fa5dfe644e0eb66c798b303e7db23ed8c2d06d58c3f3ac71de405,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.94123578071594,28.393185941087374,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed2,2,no_rgb,true,0.8543417366946778,0.8265582655826558,0.840220385674931,0.9044808149337769,0.7294940948486328,5904,5712,0.7134802958168903,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed2_block64g16_e50\weights\best.pt,038b0dc1826fa5dfe644e0eb66c798b303e7db23ed8c2d06d58c3f3ac71de405,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.35388684272766,28.24365311247348,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed2,2,no_thermal,true,0.8071151984511132,0.5648712737127372,0.6646074133120766,0.6581994891166687,0.3533431887626648,5904,4132,0.6918739679072049,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed2_block64g16_e50\weights\best.pt,038b0dc1826fa5dfe644e0eb66c798b303e7db23ed8c2d06d58c3f3ac71de405,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.54737854003906,28.53739277411408,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed2,2,no_event,true,0.9187047881501894,0.9034552845528455,0.9110162254483347,0.9554735422134399,0.8555238246917725,5904,5806,0.7481095180752111,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed2_block64g16_e50\weights\best.pt,038b0dc1826fa5dfe644e0eb66c798b303e7db23ed8c2d06d58c3f3ac71de405,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.58644080162048,28.523025120566928,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed2,2,rgb_only,false,0.8113817097415507,0.5530149051490515,0.6577356970185334,0.6506466865539551,0.34831327199935913,5904,4024,0.6932592626594407,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed2_block64g16_e50\weights\best.pt,038b0dc1826fa5dfe644e0eb66c798b303e7db23ed8c2d06d58c3f3ac71de405,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.78633975982666,28.449725322374924,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed2,2,thermal_only,false,0.8411159477641472,0.720020325203252,0.7758715093995254,0.7968207597732544,0.5603545308113098,5904,5054,0.7142618420358038,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed2_block64g16_e50\weights\best.pt,038b0dc1826fa5dfe644e0eb66c798b303e7db23ed8c2d06d58c3f3ac71de405,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.94931602478027,28.390242696888862,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed2,2,event_only,false,0.7399049881235155,0.21104336043360433,0.3284132841328414,0.2671952247619629,0.12125372886657715,5904,1684,0.6178980047799063,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed2_block64g16_e50\weights\best.pt,038b0dc1826fa5dfe644e0eb66c798b303e7db23ed8c2d06d58c3f3ac71de405,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.02680444717407,28.362048345812386,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R4 Reliability p=0.20,R4_seed0,0,full,true,0.9388495422352738,0.9205623306233063,0.9296160095783802,0.9653457403182983,0.8954504728317261,5904,5789,0.7655989653212889,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R4_reliability_p020_seed0_block64g16_e50\weights\best.pt,d39d838728766fbdb857af06096f648061659097f51217125ce6fd6fb19d1f25,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.70388388633728,28.47991489379224,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R4 Reliability p=0.20,R4_seed0,0,no_rgb,true,0.8875411540460926,0.8675474254742548,0.8774304068522484,0.9237081408500671,0.7744431495666504,5904,5771,0.7276408803398947,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R4_reliability_p020_seed0_block64g16_e50\weights\best.pt,d39d838728766fbdb857af06096f648061659097f51217125ce6fd6fb19d1f25,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.20124101638794,28.298783641249905,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R4 Reliability p=0.20,R4_seed0,0,no_thermal,true,0.7318272909455275,0.6803861788617886,0.7051698411305187,0.7298694849014282,0.42972826957702637,5904,5489,0.6559617919421495,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R4_reliability_p020_seed0_block64g16_e50\weights\best.pt,d39d838728766fbdb857af06096f648061659097f51217125ce6fd6fb19d1f25,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.29899573326111,28.629091219198916,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R4 Reliability p=0.20,R4_seed0,0,no_event,true,0.9370351150320014,0.9175135501355014,0.9271715875053488,0.9636772871017456,0.8918624520301819,5904,5781,0.7608154221835629,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R4_reliability_p020_seed0_block64g16_e50\weights\best.pt,d39d838728766fbdb857af06096f648061659097f51217125ce6fd6fb19d1f25,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.45019674301147,28.573200496094085,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
