variant,condition,metric,mean,min,max,range,seed0,seed2,detector_score_thr,metric_score_thr
R4 Reliability p=0.20,no_rgb,ap75,0.7611937820911407,0.7479444146156311,0.7744431495666504,0.026498734951019287,0.7744431495666504,0.7479444146156311,0.001,0.5
R4 Reliability p=0.20,no_thermal,precision,0.7733253021960314,0.7318272909455275,0.8148233134465351,0.08299602250100768,0.7318272909455275,0.8148233134465351,0.001,0.5
R4 Reliability p=0.20,no_thermal,recall,0.6409214092140921,0.6014566395663956,0.6803861788617886,0.07892953929539304,0.6803861788617886,0.6014566395663956,0.001,0.5
R4 Reliability p=0.20,no_thermal,f1,0.698618832083482,0.6920678230364452,0.7051698411305187,0.01310201809407352,0.7051698411305187,0.6920678230364452,0.001,0.5
R4 Reliability p=0.20,no_thermal,ap50,0.718277245759964,0.7066850066184998,0.7298694849014282,0.023184478282928467,0.7298694849014282,0.7066850066184998,0.001,0.5
R4 Reliability p=0.20,no_thermal,ap75,0.4156550168991089,0.4015817642211914,0.42972826957702637,0.02814650535583496,0.42972826957702637,0.4015817642211914,0.001,0.5
R4 Reliability p=0.20,rgb_only,precision,0.7780121278675126,0.7388523047977422,0.817171950937283,0.07831964613954079,0.7388523047977422,0.817171950937283,0.001,0.5
R4 Reliability p=0.20,rgb_only,recall,0.6316056910569106,0.5980691056910569,0.6651422764227642,0.06707317073170738,0.6651422764227642,0.5980691056910569,0.001,0.5
R4 Reliability p=0.20,rgb_only,f1,0.6953612704260216,0.6906601466992666,0.7000623941527766,0.009402247453510038,0.7000623941527766,0.6906601466992666,0.001,0.5
R4 Reliability p=0.20,rgb_only,ap50,0.7145713567733765,0.7068525552749634,0.7222901582717896,0.015437602996826172,0.7222901582717896,0.7068525552749634,0.001,0.5
R4 Reliability p=0.20,rgb_only,ap75,0.41353119909763336,0.4028528928756714,0.42420950531959534,0.02135661244392395,0.42420950531959534,0.4028528928756714,0.001,0.5
R4 Reliability p=0.20,thermal_only,precision,0.7888990086865417,0.7616228452028556,0.8161751721702278,0.05455232696737222,0.8161751721702278,0.7616228452028556,0.001,0.5
R4 Reliability p=0.20,thermal_only,recall,0.7618563685636857,0.7408536585365854,0.782859078590786,0.042005420054200604,0.782859078590786,0.7408536585365854,0.001,0.5
